vendor,bucket,category,package_name,price,option_description,package_description,Description,Value
Market Resource Partners,Enterprise,Content Creation,Dynamic E-Mail,"$5,000 USD","Enterprise-$5,000-Content Creation-MRP: Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies. 20 Leads via Content Downloads, 4 Emails per Quarter, and 2,500 contacts with email addresses.  Net New Prospects.","Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies. Leads via Content Downloads, Emails per Quarter, and contacts with email addresses.  Net New Prospects.",Leads,20
Market Resource Partners,Enterprise,Content Creation,Dynamic E-Mail,"$10,000 USD","Enterprise-$10,000-Content Creation-MRP: Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies.  40 Leads via Content Downloads, 8 Emails per Quarter, and 5,000 contacts with email addresses.  Net New Prospects.","Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies. Leads via Content Downloads, Emails per Quarter, and contacts with email addresses.  Net New Prospects.",Leads,40
Market Resource Partners,Client,Content Creation,Dynamic E-Mail,"$5,000 USD","Client-$5,000-Content Creation-MRP: Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies.   20 Leads via Content Downloads, 4 Emails per Quarter, and 2,500 contacts with email addresses.  Net New Prospects.","Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies. Leads via Content Downloads, Emails per Quarter, and contacts with email addresses.  Net New Prospects.",Leads,20
Market Resource Partners,Client,Content Creation,Dynamic E-Mail,"$10,000 USD","Client-$10,000-Content Creation-MRP: Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies.   40 Leads via Content Downloads, 8 Emails per Quarter, and 5,000 contacts with email addresses.  Net New Prospects.","Dynamic E-Mail-Create a multifaceted experience w/ rotating offers, videos, lead capture forms, and downloads such as white papers and case studies. Leads via Content Downloads, Emails per Quarter, and contacts with email addresses.  Net New Prospects.",Leads,40
Market Resource Partners,Enterprise,Database & Analytics,Delta Prelytix (IP Listening),"$20,000 USD","Enterprise-$20,000-Database & Analytics-MRP: IP Listening Program-Engage with the right prospects at the right time by pursuing opportunities with the highest propensity to buy.  200-350 Leads, access to MRP Marketing Cloud – Real time reporting dashboard, Topic / Keyword recommendation and selection, Target IP Listening on Monitored Websites, Taxonomy Details and topic Unique to Partner.  Net New Prospects.","IP Listening Program-Engage with the right prospects at the right time by pursuing opportunities with the highest propensity to buy.  200-350 Leads, access to MRP Marketing Cloud – Real time reporting dashboard, Topic / Keyword recommendation and selection, Target IP Listening on Monitored Websites, Taxonomy Details and topic Unique to Partner.  Net New Prospects.",Leads,200
Market Resource Partners,Client,Database & Analytics,Delta Prelytix (IP Listening),"$20,000 USD","Client-$20,000-Database & Analytics-MRP: IP Listening Program-Engage with the right prospects at the right time by pursuing opportunities with the highest propensity to buy.  200-350 Leads, access to MRP Marketing Cloud – Real time reporting dashboard, Topic / Keyword recommendation and selection, Target IP Listening on Monitored Websites, Taxonomy Details and topic Unique to Partner.  Net New Prospects.","IP Listening Program-Engage with the right prospects at the right time by pursuing opportunities with the highest propensity to buy.  200-350 Leads, access to MRP Marketing Cloud – Real time reporting dashboard, Topic / Keyword recommendation and selection, Target IP Listening on Monitored Websites, Taxonomy Details and topic Unique to Partner.  Net New Prospects.",Leads,200
Market Resource Partners,Enterprise,Event Recruitment,Event Registration Generation,"$5,000 USD","Client-$5,000-Event Recruitment-MRP:  Drive audience acquisition to live or digital events. Estimated 75+ Registrants (No Guarantee for Attendance), 500-1,000 Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls.  Net New Prospects.","Event Recruitment-MRP:  Drive audience acquisition to live or digital events. Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls.  Net New Prospects.",Registrations,75
Market Resource Partners,Client,Event Recruitment,Event Registration Generation,"$5,000 USD","Enterprise-$5,000-Event Recruitment-MRP: Drive audience acquisition to live or digital events. Estimated 75+ Registrants (No Guarantee for Attendance), 500-1,000 Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls.  Net New Prospects.","Event Recruitment-MRP:  Drive audience acquisition to live or digital events. Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls.  Net New Prospects.",Registrations,75
Market Resource Partners,Enterprise,Event Recruitment,Event Registration Generation with Dynamic E-Mail,"$10,000 USD","Enterprise-$10,000-Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included).  Estimated 75+ Registrants (No Guarantee for Attendance), 500-1,000 Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.","Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included). Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.",Registrations,75
Market Resource Partners,Enterprise,Event Recruitment,Event Registration Generation with Dynamic E-Mail,"$15,000 USD","Enterprise-$15,000-Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included).  Estimated 150+ Registrants (No Guarantee for Attendance), 500-1,000 Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.","Event Recruitment-MRP: Drive audience acquisition to live or digital events. (E-Mail Blast Included). Target Accounts provided by MRP, 3 Weeks of Awareness via Tele-Prospecting, 1 week of reminder calls, Dynamic Email & Registration Landing Page for Event Awareness.  Net New Prospects.",Registrations,150
